Name		Cost															Damage				Adv. Map			
Singular	Plural	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Fight Value	AI Value	Growth	Horde Growth	Hit Points	Speed	Attack	Defense	Low	High	Shots	Spells	Low	High	Ability Text	"Attributes (Reference only, do not change these values)"
Войовничий єдиноріг	Войовничих єдинорогів	0	0	0	0	0	0	950	1740	2030	2	0	110	9	15	14	18	22	0	0	5	10	Аура опору магії. Осліплююча атака.	DOUBLE_WIDE
Зелений дракон	Зелених драконів	0	0	0	0	1	0	2400	3654	4872	1	0	180	10	18	18	40	50	0	0	4	10	Імунітет до заклять 1-3 рівня.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Золотий дракон	Золотих драконів	0	0	0	0	2	0	4000	6220	8613	1	0	250	16	27	27	40	50	0	0	3	8	Імунітет до заклять 1-4 рівня.	DOUBLE_WIDE | FLYING_ARMY | KING_1
																								
																								
																								
Гремлін	Гремлінів	0	0	0	0	0	0	30	55	44	16	0	4	4	3	3	1	2	0	0	20	50		0
Майстер гремлінів	Майстрів гремлінів	0	0	0	0	0	0	40	55	66	16	0	4	5	4	4	1	2	8	0	20	30	Атакує на відстані.	SHOOTING_ARMY
Кам'яна горгулія	Кам'яних горгулій	0	0	0	0	0	0	130	150	165	9	4	16	6	6	6	2	3	0	0	16	30		FLYING_ARMY
Обсидіанова горгулія	Обсидіанових горгулій	0	0	0	0	0	0	160	155	201	9	4	16	9	7	7	2	3	0	0	16	25		FLYING_ARMY
Кам'яний голем	Кам'яних големів	0	0	0	0	0	0	150	339	250	6	0	30	3	7	10	4	5	0	0	12	25	Отримує на 50% менше пошкоджень від магії.	0
Залізний голем	Залізних големів	0	0	0	0	0	0	200	412	412	6	0	35	5	9	10	4	5	0	0	12	20	Отримує на 75% менше пошкоджень від магії.	0
Маг	Магів	0	0	0	0	0	0	350	418	570	4	0	25	5	11	8	7	9	24	0	10	20	"Немає штрафу за ближній бій.
Закляття героя коштують менше."	SHOOTING_ARMY | const_no_melee_penalty
Архімаг	Архімагів	0	0	0	0	0	0	450	467	680	4	0	30	7	12	9	7	9	24	0	10	16	"Немає штрафу за ближній бій.
Закляття героя коштують менше."	SHOOTING_ARMY | const_no_melee_penalty | const_no_wall_penalty
Джин	Джинів	0	0	0	0	0	0	550	680	884	3	0	40	7	12	12	13	16	0	0	8	16	Ненавидить іфритів.	FLYING_ARMY
Майстер джинів	Майстрів джинів	0	0	0	0	0	0	600	748	942	3	0	40	11	12	12	13	16	0	3	8	12	"Випадкове заклинання.
Ненавидить іфритів."	FLYING_ARMY
Нага	Наг	0	0	0	0	0	0	1100	2016	2016	2	0	110	5	16	13	20	20	0	0	5	12	Ворог не відповідає.	DOUBLE_WIDE
Королева наг	Королев наг	0	0	0	0	0	0	1600	2485	2840	2	0	110	7	16	13	30	30	0	0	5	10	Ворог не відповідає.	DOUBLE_WIDE
Гігант	Гігантів	0	0	0	0	0	1	2000	3146	3718	1	0	150	7	19	16	40	60	0	0	4	10	Імунітет до розумових заклять	KING_3
Титан	Титанів	0	0	0	0	0	2	5000	5000	7500	1	0	300	11	24	24	40	60	24	0	3	8	"Немає штрафу за ближній бій. Імунітет до розумових заклять. Ненавидить Чорних Драконів."	SHOOTING_ARMY | const_no_melee_penalty | KING_3
                                   																								
																								
																								
Бісеня	Бісенят	0	0	0	0	0	0	50	50	50	15	8	4	5	2	3	1	2	0	0	20	50		0
Чортеня	Чортенят	0	0	0	0	0	0	60	60	60	15	8	4	7	4	4	1	2	0	0	20	30	Магічний канал.	0
Гог	Гогів	0	0	0	0	0	0	125	145	159	8	0	13	4	6	4	2	4	12	0	16	30		SHOOTING_ARMY
Магог	Магогів	0	0	0	0	0	0	175	210	240	8	0	13	6	7	4	2	4	24	0	16	25	Стріляє вогненною кулею.	SHOOTING_ARMY
Пекельний пес	Пекельних псів	0	0	0	0	0	0	200	275	357	5	3	25	7	10	6	2	7	0	0	12	25		DOUBLE_WIDE | FLYING_ARMY
Цербер	Церберів	0	0	0	0	0	0	250	308	392	5	3	25	8	10	8	2	7	0	0	12	20	"Трьохголова атака.
Вороги не відповідають."	DOUBLE_WIDE | FLYING_ARMY
Демон	Демонів	0	0	0	0	0	0	250	445	445	4	0	35	5	10	10	7	9	0	0	10	20		0
Рогатий демон	Рогатих демонів	0	0	0	0	0	0	270	480	480	4	0	40	6	10	10	7	9	0	0	10	16		0
Демон безодні	Демонів безодні	0	0	0	0	0	0	500	765	765	3	0	45	6	13	13	13	17	0	0	8	16		0
Володар безодні	Володарів безодні	0	0	0	0	0	0	700	1071	1224	3	0	45	7	13	13	13	17	0	1	8	12	"Піднімає демонів 
з мертвих воїнів."	0
Іфрит	Іфритів	0	0	0	0	0	0	900	1413	1670	2	0	90	9	16	12	16	24	0	0	5	12	Імунітет до вогню. Ненавидить джинів.	0
Султан іфритів	Султанів іфритів	0	0	0	0	0	0	1100	1584	1848	2	0	90	13	16	14	16	24	0	0	5	10	Вогненний щит.  Імунітет до Вогню. Ненавидить джинів.	0
Диявол	Дияволів	0	1	0	0	0	0	2700	3759	5101	1	0	160	11	19	21	30	40	0	0	4	10	-1 до ворожої удачі. Ворог не відповідає. Ненавидить Ангелів.	FLYING_ARMY | KING_2
Архідиявол	Архідияволів	0	2	0	0	0	0	4500	5243	7115	1	0	200	17	26	28	30	40	0	0	3	8	-1 до ворожої удачі. Ворог не відповідає. Ненавидить Ангелів.	FLYING_ARMY | KING_2
																								
																								
																								
Скелет	Скелетів	0	0	0	0	0	0	60	75	60	12	6	6	4	5	4	1	3	0	0	20	50	Нежить.	IS_UNDEAD
Скелет воїн	Скелетів воїнів	0	0	0	0	0	0	70	85	85	12	6	6	5	6	6	1	3	0	0	20	30	Нежить.	IS_UNDEAD
Ходячий мрець	Ходячих мерців	0	0	0	0	0	0	100	140	98	8	0	15	3	5	5	2	3	0	0	16	30	Нежить.	IS_UNDEAD
Зомбі	Зомбі	0	0	0	0	0	0	125	160	128	8	0	20	4	5	5	2	3	0	0	16	25	"Нежить, 
зараза."	IS_UNDEAD
Примара	Примар	0	0	0	0	0	0	200	231	252	7	0	18	5	7	7	3	5	0	0	12	25	Нежить. Відновлення здоров'я.	FLYING_ARMY | IS_UNDEAD
Привид	Привидів	0	0	0	0	0	0	230	252	315	7	0	18	7	7	7	3	5	0	0	12	20	"Нежить. Відновлення здоров'я. 
Викрадання мани."	FLYING_ARMY | IS_UNDEAD
Вампір	Вампірів	0	0	0	0	0	0	360	518	555	4	0	30	6	10	9	5	8	0	0	10	20	"Нежить. 
Ворог не відповідає."	FLYING_ARMY | IS_UNDEAD
Лорд вампірів	Лордів вампірів	0	0	0	0	0	0	500	652	783	4	0	40	9	10	10	5	8	0	0	10	16	"Нежить. Висмоктує життя. 
Ворог не відповідає."	FLYING_ARMY | IS_UNDEAD
Ліч	Лічів	0	0	0	0	0	0	550	742	848	3	0	30	6	13	10	11	13	12	0	8	16	Нежить. Атакує хмарою смерті.	SHOOTING_ARMY | IS_UNDEAD
Архіліч	Архілічів	0	0	0	0	0	0	600	889	1079	3	0	40	7	13	10	11	15	24	0	8	12	Нежить. Атакує хмарою смерті.	SHOOTING_ARMY | IS_UNDEAD
Чорний лицар	Чорних лицарів	0	0	0	0	0	0	1200	1753	2087	2	0	120	7	16	16	15	30	0	0	5	12	Нежить. Прокляття.	DOUBLE_WIDE | IS_UNDEAD
Лицар страху	Лицарів страху	0	0	0	0	0	0	1500	2029	2382	2	0	120	9	18	18	15	30	0	0	5	10	"Нежить. Прокляття. 
Смертельний удар."	DOUBLE_WIDE | IS_UNDEAD
Кістяний дракон	Кістяних драконів	0	0	0	0	0	0	1800	2420	3388	1	0	150	9	17	15	25	50	0	0	4	10	Нежить. -1 до моралі ворога.	DOUBLE_WIDE | IS_UNDEAD | const_lowers_morale | FLYING_ARMY | KING_1
Дракон привид	Драконів привидів	0	1	0	0	0	0	3000	3228	4696	1	0	200	14	19	17	25	50	0	0	3	8	"Нежить. -1 до моралі ворога. Атака зістарює ворогів."	DOUBLE_WIDE | IS_UNDEAD | const_lowers_morale | FLYING_ARMY | KING_1
																								
																								
																								
Троглодит	Троглодитів	0	0	0	0	0	0	50	73	59	14	7	5	4	4	3	1	3	0	0	20	50	Імунітет до сліпоти.	0
Пекельний троглодит	Пекельних троглодитів	0	0	0	0	0	0	65	84	84	14	7	6	5	5	4	1	3	0	0	20	30	Імунітет до сліпоти.	0
Гарпія	Гарпій	0	0	0	0	0	0	130	140	154	8	0	14	6	6	5	1	4	0	0	16	30	Б'є та повертається.	FLYING_ARMY
Фурія	Фурій	0	0	0	0	0	0	170	196	238	8	0	14	9	6	6	1	4	0	0	16	25	"Б'є та повертається.
Ворог не відповідає."	FLYING_ARMY
Спостерігач	Спостерігачів	0	0	0	0	0	0	250	240	336	7	0	22	5	9	7	3	5	12	0	12	25	Немає штрафу за ближній бій.	SHOOTING_ARMY | const_no_melee_penalty
Зле око	Злих очей	0	0	0	0	0	0	280	245	367	7	0	22	7	10	8	3	5	24	0	12	20	Немає штрафу за ближній бій.	SHOOTING_ARMY | const_no_melee_penalty
Медуза	Медуз	0	0	0	0	0	0	300	379	517	4	0	25	5	9	9	6	8	4	0	10	20	"Немає штрафу за ближній бій.
Кам'яний погляд."	DOUBLE_WIDE | SHOOTING_ARMY | const_no_melee_penalty
Королева медуз	Королев медуз	0	0	0	0	0	0	330	423	577	4	0	30	6	10	10	6	8	8	0	10	16	"Немає штрафу за ближній бій.
Кам'яний погляд."	DOUBLE_WIDE | SHOOTING_ARMY | const_no_melee_penalty
Мінотавр	Мінотаврів	0	0	0	0	0	0	500	835	835	3	0	50	6	14	12	12	20	0	0	8	16	Висока мораль.	0
Король мінотаврів	Королів мінотаврів	0	0	0	0	0	0	575	890	1068	3	0	50	8	15	15	12	20	0	0	8	12	Висока мораль.	0
Мантикор	Мантикорів	0	0	0	0	0	0	850	1215	1547	2	0	80	7	15	13	14	20	0	0	5	12		DOUBLE_WIDE | FLYING_ARMY
Скорпікор	Скорпікорів	0	0	0	0	0	0	1050	1248	1589	2	0	80	11	16	14	14	20	0	0	5	10	Паралізуюча отрута.	DOUBLE_WIDE | FLYING_ARMY
Червоний дракон	Червоних драконів	0	0	0	1	0	0	2500	3762	4702	1	0	180	11	19	19	40	50	0	0	4	10	Імунітет до заклять 1-3 рівня.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Чорний дракон	Чорних драконів	0	0	0	2	0	0	4000	6783	8721	1	0	300	15	25	25	40	50	0	0	3	8	Імунітет до всіх заклять.	DOUBLE_WIDE | FLYING_ARMY | KING_1
																								
																								
																								
Гоблін	Гоблінів	0	0	0	0	0	0	40	60	60	15	8	5	5	4	2	1	2	0	0	20	50		0
Хобгоблін	Хобгоблінів	0	0	0	0	0	0	50	65	78	15	8	5	7	5	3	1	2	0	0	20	30		0
Вовчий вершник	Вовчих вершників	0	0	0	0	0	0	100	130	130	9	0	10	6	7	5	2	4	0	0	16	30		DOUBLE_WIDE
Вовчий рейдер	Вовчих рейдерів	0	0	0	0	0	0	140	174	203	9	0	10	8	8	5	3	4	0	0	16	25	Б'є двічі	DOUBLE_WIDE
Орк	Орків	0	0	0	0	0	0	150	175	192	7	0	15	4	8	4	2	5	12	0	12	25		SHOOTING_ARMY
Вождь орків	Вождів орків	0	0	0	0	0	0	165	200	240	7	0	20	5	8	4	2	5	24	0	12	20		SHOOTING_ARMY
Огр	Огрів	0	0	0	0	0	0	300	520	416	4	0	40	4	13	7	6	12	0	0	10	20		0
Маг огрів	Магів огрів	0	0	0	0	0	0	400	672	672	4	0	60	5	13	7	6	12	0	3	10	16	Магія: жага крові.	0
Птах Рух	Птахів Рух	0	0	0	0	0	0	600	790	1027	3	0	60	7	13	11	11	15	0	0	8	16		FLYING_ARMY | DOUBLE_WIDE
Буревісник	Буревісників	0	0	0	0	0	0	700	869	1106	3	0	60	11	13	11	11	15	0	0	8	12	Блискавка.	FLYING_ARMY | DOUBLE_WIDE
Циклоп	Циклопів	0	0	0	0	0	0	750	1055	1266	2	0	70	6	15	12	16	20	16	0	5	12	Атакує стіни фортеці.	SHOOTING_ARMY | CATAPULT
Король циклопів	Королів циклопів	0	0	0	0	0	0	1100	1110	1443	2	0	70	8	17	13	16	20	24	0	5	10	Атакує стіни фортеці.	SHOOTING_ARMY | CATAPULT
Чудовисько	Чудовиськ	0	0	0	0	0	0	1500	3162	3162	1	0	160	6	17	17	30	50	0	0	4	10	Захист обраного ворога зменшується на 40%.	DOUBLE_WIDE | KING_1
Древнє чудовисько	Древніх чудовиськ	0	0	0	0	1	0	3000	5397	6168	1	0	300	9	19	19	30	50	0	0	3	8	Захист обраного ворога зменшується на 80%.	DOUBLE_WIDE | KING_1
																								
																								
																								
Гнол	Гнолів	0	0	0	0	0	0	50	70	56	12	6	6	4	3	5	2	3	0	0	20	50		0
Гнол мародер	Гнолів мародерів	0	0	0	0	0	0	70	90	90	12	6	6	5	4	6	2	3	0	0	20	30		0
Ящір	Ящірів	0	0	0	0	0	0	110	115	126	9	0	14	4	5	6	2	3	12	0	16	30		SHOOTING_ARMY
Ящір воїн	Ящірів воїнів	0	0	0	0	0	0	140	130	156	9	0	15	5	6	8	2	5	24	0	16	25		SHOOTING_ARMY
Горгона	Горгон	0	0	0	0	0	0	525	890	890	3	0	70	5	10	14	12	16	0	0	12	25		DOUBLE_WIDE
Могутня горгона	Могутніх горгон	0	0	0	0	0	0	600	1028	1028	3	0	70	6	11	16	12	16	0	0	12	20	Смертельний погляд.	DOUBLE_WIDE
Зміємуха	Зміємух	0	0	0	0	0	0	220	215	268	8	0	20	9	7	9	2	5	0	0	10	20	Розсіює корисні закляття.	FLYING_ARMY
Дракомуха	Дракомух	0	0	0	0	0	0	240	250	312	8	0	20	13	8	10	2	5	0	0	10	16	Розсіює корисні закляття.	FLYING_ARMY
Василіск	Василісків	0	0	0	0	0	0	325	506	552	4	0	35	5	11	11	6	10	0	0	8	16	Паралізуюча атака.	DOUBLE_WIDE
Старший василіск	Старших василісків	0	0	0	0	0	0	400	561	714	4	0	40	7	12	12	6	10	0	0	8	12	Паралізуюча атака.	DOUBLE_WIDE
Виверна	Виверн	0	0	0	0	0	0	800	1050	1350	2	0	70	7	14	14	14	18	0	0	5	12		DOUBLE_WIDE | FLYING_ARMY
Виверна монарх	Виверн монархів	0	0	0	0	0	0	1100	1181	1518	2	0	70	11	14	14	18	22	0	0	5	10	Отруйний.	DOUBLE_WIDE | FLYING_ARMY
Гідра	Гідр	0	0	0	0	0	0	2200	4120	4120	1	0	175	5	16	18	25	45	0	0	4	10	Атакує усіх ворогів, що стоять поруч. Ворог не відповідає.	DOUBLE_WIDE | KING_1
Гідра хаосу	Гідр хаосу	0	0	0	1	0	0	3500	5272	5931	1	0	250	7	18	20	25	45	0	0	3	8	Атакує усіх ворогів, що стоять поруч. Ворог не відповідає.	DOUBLE_WIDE | KING_1
																								
																								
																								
Повітряний елементаль	Повітряних елементалів	0	0	0	0	0	0	250	324	356	6	0	25	7	9	9	2	8	0	0	8	12	Вразливість до блискавки та вогню.	0
Земний елементаль	Земних елементалів	0	0	0	0	0	0	400	415	330	4	0	40	4	10	10	4	8	0	0	16	30	Вразливість до метеоритного дощу.	0
Вогненний елементаль	Вогненних елементалів	0	0	0	0	0	0	350	345	345	5	0	35	6	10	8	4	6	0	0	16	25	"Імунітет до вогню. 
Вразливісь до заморожування."	0
Водний елементаль	Водних елементалів	0	0	0	0	0	0	300	315	315	6	0	30	5	8	10	3	7	0	0	12	25	"Імунітет до заморожування. 
Вразливість до вогню."	0
Золотий голем	Золотих големів	0	0	0	0	0	0	500	600	600	3	0	50	5	11	12	8	10	0	0	10	16	Пошкодження від заклять зменшений на 85%.	0
Діамантовий голем	Діамантових големів	0	0	0	0	0	0	750	775	775	2	0	60	5	13	12	10	14	0	0	8	12	Пошкодження від заклять зменшений на 95%.	0
																								
																								
																								
Піксі	Піксі	0	0	0	0	0	0	25	40	55	20	10	3	7	2	2	1	2	0	0	20	50		FLYING_ARMY
Фея	Фей	0	0	0	0	0	0	30	70	95	20	10	3	9	2	2	1	3	0	0	20	30	Ворог не відповідає.	FLYING_ARMY | const_free_attack
Психічний елементаль	Психічних елементалів	0	0	0	0	0	0	750	1431	1669	2	0	75	7	15	13	10	20	0	0	8	16	"Атакує усіх ворогів, що стоять поруч, не отримуючи відповіді. Імунітет до розумових заклять."	IMMUNE_TO_MIND_SPELLS | DOUBLE_WIDE | const_free_attack | MULTI_HEADED
Магічний елементаль	Магічних елементалів	0	0	0	0	0	0	800	1724	2012	2	0	80	9	15	13	15	25	0	0	8	12	"Атакує усіх ворогів, що стоять поруч, не отримуючи відповіді. Імунітет до розумових заклять."	IMMUNE_TO_MIND_SPELLS | DOUBLE_WIDE | const_free_attack | MULTI_HEADED
NOT USED (1)	NOT USED (1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Крижаний елементаль	Крижаних елементалів	0	0	0	0	0	0	375	315	380	6	0	30	6	8	10	3	7	24	3	12	20	"Імунітет до розумових заклять. Імунітет до заморожування. Вразливість до вогню."	IMMUNE_TO_MIND_SPELLS | SHOOTING_ARMY
NOT USED (2) 	NOT USED (2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Магмовий елементаль	Магмових елементалів	0	0	0	0	0	0	500	490	490	4	0	40	6	11	11	6	10	0	3	16	25	"Імунітет до розумових заклять. Створює захист від Землі."	IMMUNE_TO_MIND_SPELLS
NOT USED (3)	NOT USED (3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Штормовий елементаль	Штормових елементалів	0	0	0	0	0	0	275	324	486	6	0	25	8	9	9	2	8	24	3	6	12	"Немає штрафу за ближній бій. Вразливість до блискавки та вогненного шторму."	IMMUNE_TO_MIND_SPELLS | SHOOTING_ARMY
NOT USED (4)	NOT USED (4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Енергетичний елемнталь	Енергетичних елементалів	0	0	0	0	0	0	400	360	470	5	0	35	8	12	8	4	6	0	3	12	25	"Створює захист від Вогню. Імунітет до вогненних і розумових заклять, вразливість до заморожування."	IMMUNE_TO_MIND_SPELLS | IMMUNE_TO_FIRE_SPELLS | FLYING_ARMY
Жарптиця	Жарптиць	0	0	0	0	0	0	1500	3248	4547	2	0	150	15	18	18	30	40	0	0	4	10	"Вогненний подих. Імунітет до вогненних заклять."	IMMUNE_TO_FIRE_SPELLS | DOUBLE_WIDE | FLYING_ARMY | KING_1 | HAS_EXTENDED_ATTACK
Фенікс	Феніксів	0	1	0	0	0	0	2000	4929	6721	2	0	200	21	21	18	30	40	0	1	4	10	"Вогненний подих. Імунітет до вогненних заклять. Переродження."	IMMUNE_TO_FIRE_SPELLS | DOUBLE_WIDE | FLYING_ARMY | KING_1 | HAS_EXTENDED_ATTACK
																								
																								
																								
Лазуровий дракон	Лазурових драконів	0	20	0	0	0	0	30000	56315	78845	1	0	1000	19	50	50	70	80	0	0	1	3	Страх.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Кришталевий дракон	Кришталевих драконів	0	0	0	0	10	0	20000	30260	39338	1	0	800	16	40	40	60	75	0	0	1	3	Приносить кристали.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Казковий дракон	Казкових драконів	0	0	0	0	0	8	10000	16317	19580	1	0	500	15	20	20	20	30	0	5	1	3	Володіє атакувальними закляттями.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Іржавий дракон	Іржавих драконів	0	0	0	14	0	0	15000	24030	26433	1	0	750	17	30	30	50	50	0	0	1	3	Плює кислотою.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Чародій	Чародіїв	0	0	0	0	0	0	750	805	1210	2	0	30	9	17	12	14	14	32	0	5	12	"Немає штрафу за ближній бій.
Володіє закляттями."	SHOOTING_ARMY | const_no_melee_penalty
Снайпер	Снайперів	0	0	0	0	0	0	400	415	585	4	0	15	9	12	10	8	10	32	0	5	12	Немає штрафу за відстань чи перешкоди.	SHOOTING_ARMY
Халфлінг	Халфлінгів	0	0	0	0	0	0	40	60	75	15	0	4	5	4	2	1	3	24	0	20	50	Позитивна удача.	SHOOTING_ARMY
Селянин	Селян	0	0	0	0	0	0	10	15	15	25	0	1	3	1	1	1	1	0	0	20	50		
Кабан	Кабанів	0	0	0	0	0	0	150	145	145	8	0	15	6	6	5	2	3	0	0	16	30		
Мумія	Мумій	0	0	0	0	0	0	300	270	270	7	0	30	5	7	7	3	5	0	0	12	25	Прокляття.	
Кочівник	Кочівників	0	0	0	0	0	0	200	285	345	7	0	30	7	9	8	2	6	0	0	12	25	Швидкий рух пустелею.	
Розбійник	Розбійників	0	0	0	0	0	0	100	135	135	8	0	10	6	8	3	2	4	0	0	16	30	Шпигування.	
Троль	Тролів	0	0	0	0	0	0	500	1024	1024	3	0	40	7	14	7	10	15	0	0	8	12	Регенерація.	
																								
																								
																								
Катапульта	Катапульт	0	0	0	0	0	0	1	10	500	0	0	1000	0	10	10	0	0	24	0	0	0	Атакує стіни фортеці.	DOUBLE_WIDE | SHOOTING_ARMY | CATAPULT | SIEGE_WEAPON
Баліста	Баліст	0	0	0	0	0	0	2500	650	600	0	0	250	0	10	10	2	3	24	0	0	0		DOUBLE_WIDE | SHOOTING_ARMY | SIEGE_WEAPON
Намет допомоги	Наметів допомоги	0	0	0	0	0	0	750	10	300	0	0	75	0	0	0	0	0	0	0	0	0	Лікує війська.	DOUBLE_WIDE | SIEGE_WEAPON
Візок боєприпасів	Візків боєприпасів	0	0	0	0	0	0	1000	5	400	0	0	100	0	0	5	0	0	0	0	0	0	Нескінченні боєприпаси.	SIEGE_WEAPON
Стрілецька вежа	Стрілецьких веж	0	0	0	0	0	0	1000	5	400	0	0	100	0	10	5	2	4	99	0	0	0	Нескінченні боєприпаси.	SIEGE_WEAPON
